artist_id,full_name,school,east_german,professor_class,gender,country_iso3,continent,region,instagram_handle,instagram_private,instagram_private_allowed,is_business,is_private,follower_count,following_count,posts_count,website,img_count,avg_likes,avg_comments,avg_file_size,avg_width,avg_height,avg_aspect_ratio,umap_1,umap_2
katharinakhne,Katharina Kühne,Braunschweig,False,Ellenrieder,F,DEU,Europe,Europe & Central Asia,katharinakuehne_,False,False,False,False,122.0,199.0,55.0,https://www.katharinakuehne.com/,69,,,839174.797101449,662.289855072464,850.31884057971,0.816904981948057,7.7841873,7.1697855
katrinalpennington,Katrina L. Pennington,Dresden,True,Macketanz,F,,,,katrinalpennington,False,False,False,False,286.0,234.0,61.0,https://katrinalpennington.com/,49,,,6649819.16326531,3451.73469387755,3348.20408163265,1.03616680753382,3.9439352,7.9333873
kristablomqvist,Krista Blomqvist,UDKBerlin,True,Favre,F,FIN,Europe,Europe & Central Asia,kristaeveli,False,False,False,False,361.0,459.0,275.0,https://kristaeveliina.tumblr.com/,37,,,582564.756756757,923.864864864865,1131.83783783784,0.829878475262597,8.35268,6.6822386
kunsu,Kun Su,Munchen,False,Doberauer,M,,,,kun_su93,False,False,False,False,103.0,154.0,97.0,,74,7.39622641509434,0.377358490566038,63177.0405405405,1039.86486486486,1026.56756756757,1.06824758134734,3.0991864,5.9558024
kwangheeko,Kwanghee Ko,UDKBerlin,True,Lucander,M,,,,ko_www,False,False,True,False,147.0,211.0,115.0,,70,43.625,1.44642857142857,347835.128571429,1015.11428571429,1090.31428571429,1.00934118833276,5.369866,4.6026464
kyrarunkel,Kyra Runkel,Alanus,False,Orosz,F,,,,kyra.runkel,False,False,False,False,236.0,387.0,8.0,,7,105.571428571429,2.57142857142857,507050.0,844.285714285714,1143.28571428571,0.744030767346372,4.758017,6.6153173
larakaiser,Lara Kaiser,Munster,False,Völker,F,DEU,Europe,Europe & Central Asia,__lkaiser,False,False,False,False,306.0,336.0,127.0,https://www.lara-kaiser.com/,88,,,162721.295454545,712.522727272727,718.409090909091,1.03868294949747,6.4174337,8.973789
larissaheim,Larissa Heim,Stuttgart,False,Bunk,F,,,,larissa_heim,False,False,False,False,922.0,473.0,58.0,,58,158.438596491228,2.64912280701754,363049.913793103,986.327586206897,992.534482758621,1.00756230267965,3.6575282,5.0709686
lassepook,Lasse Pook,Halle,True,Baumgärtel,M,DEU,Europe,Europe & Central Asia,,False,False,,,,,,http://lassepook.de/,133,,,727862.92481203,766.639097744361,925.022556390977,0.818343167654732,8.171808,6.8949547
laurabenz,Laura Benz,Stuttgart,False,Bechinger,F,,,,laura__benz,False,False,True,False,330.0,222.0,58.0,,35,37.4117647058824,0.352941176470588,203510.714285714,942.457142857143,901.142857142857,1.0972121881194,5.455097,4.2566223
layalialawad,Layali Alawad,Alanus,False,Rüter,F,SYR,Asia,Middle East & North Africa,layali_alawad_artwork,False,False,False,False,1544.0,268.0,119.0,http://www.layalialawad.com,129,,,837262.488372093,992.883720930233,1140.27906976744,0.923690198884757,4.2510843,7.855332
leandrocultraro,Leandro Cultraro,Stuttgart,False,Bechinger,F,,,,l.cultraro,False,False,True,False,316.0,179.0,93.0,,119,108.693548387097,2.66129032258065,389803.243697479,876.453781512605,1099.00840336134,0.802521716663685,5.7274327,4.8690524
lenadobner,Lena Dobner,Dresden,True,Kerbach,F,DEU,Europe,Europe & Central Asia,cinquantefrancs,False,False,False,False,326.0,462.0,340.0,https://www.lenadobner.de/,18,,,257889.444444444,715.666666666667,768.722222222222,0.976038764869787,6.295707,7.8592453
lenakeller,lena keller,Munchen,False,Kneffel,F,,,,lenakeller_,False,False,False,False,1498.0,885.0,210.0,,30,137.2,4.2,465099.533333333,709.566666666667,816.866666666667,0.872027672043957,8.959749,5.9689236
lenaschmid,Lena Schmid,Braunschweig,False,Jenssen,F,DEU,Europe,Europe & Central Asia,_lenaschmid,False,False,False,False,499.0,1064.0,32.0,http://www.lenaschmid.com/,16,,,143167.375,422.375,587.5,0.719270833333333,7.7603493,7.4071794
lenastuehmeier,Lena Stuehmeier,Leipzig,True,Schröter,F,DEU,Europe,Europe & Central Asia,lenastuehmeier,False,False,False,False,427.0,279.0,3.0,https://galerie-irrgang.com/lena-stuehmeier/,7,,,1921676.0,1044.42857142857,1174.57142857143,0.887858285124416,4.8061395,7.5289474
lenavalenzuela,Lena Valenzuela,UDKBerlin,True,Favre,F,FRA,Europe,Europe & Central Asia,lena_valenzuela_de_la_hoz,False,False,False,False,272.0,429.0,102.0,http://lenavalenzuela.de/,24,,,1579578.16666667,1616.83333333333,1775.16666666667,0.970878525986154,5.8247924,7.845424
lenipohl,Leni Pohl,Leipzig,True,Riedel,F,,,,lenifriedepohl,False,False,False,False,410.0,350.0,51.0,,53,99.7777777777778,3.55555555555556,265120.471698113,1055.39622641509,1102.58490566038,0.999458093286219,3.9561386,6.199524
lennartkre,Lennart Kreß,Dresden,True,Macketanz,M,DEU,Europe,Europe & Central Asia,lennart_kress_,False,False,False,False,231.0,514.0,20.0,https://www.rojokress.com/,35,51.6363636363636,1.72727272727273,296811.8,896.485714285714,900.828571428571,1.00429121793066,5.983939,7.6807113
lennartschweigert,Lennart Schweigert,Offenbach,False,Gunter Reski,M,,,,suhperlennart,False,False,False,False,460.0,552.0,35.0,,26,55.7307692307692,1.11538461538462,424962.0,907.423076923077,907.576923076923,1.06526718224301,5.033958,4.9635224
leofischer,Leo Fischer,Dresden,True,Macketanz,M,DEU,Europe,Europe & Central Asia,leo.constantin.fischer,False,False,True,False,455.0,609.0,62.0,https://leoconstantinfischer.tumblr.com/,12,,,328968.25,1270.58333333333,1594.58333333333,0.814152346906181,3.5980275,7.7963877
leohimburg,Leo Himburg,Saar,False,Langendorf,M,,,,leo.himburg,False,False,False,False,220.0,176.0,66.0,,18,65.0,3.22222222222222,152060.611111111,1029.16666666667,1157.66666666667,0.922512154436184,4.0531735,5.4249477
leonfriederichs,Leon Friederichs,Leipzig,True,,M,DEU,Europe,Europe & Central Asia,frleon22,False,False,True,False,126.0,165.0,105.0,http://www.farfromready.com,8,,,1142812.625,1381.625,1777.625,0.851155584135765,6.7771335,9.204706
leonieelpelt,Leonie Elpelt,Nürnberg,False,Kühn,F,,,,power_leonie.3000,False,False,False,False,380.0,237.0,86.0,,15,14.5,0.0,143030.666666667,836.866666666667,763.066666666667,1.14417184968728,5.9669724,7.1866155
leoniekunz,Leonie Kunz,Leipzig,True,,F,,,,_bedofpearls,False,False,False,False,866.0,282.0,442.0,,42,25.4444444444444,0.555555555555556,491142.80952381,1025.38095238095,1207.2619047619,0.853905829350767,3.9237132,4.9839654
